time,ntime,latitude,nlatitude,longitude,nlongitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-09T23:56:00.593Z,2019-02-09 23:56:01,61.4829,151.4829,-149.9353,30.0647,32.5,1.5,ml,,,,0.78,ak,ak0191ujiut7,2019-02-09T23:58:29.736Z,"4km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-09T23:53:20.230Z,2019-02-09 23:53:20,33.2235,123.2235,-116.7485,63.2515,10.19,0.82,ml,27,55,0.01513,0.26,ci,ci37527202,2019-02-09T23:56:55.721Z,"2km SE of Lake Henshaw, CA",earthquake,0.44,0.72,0.147,20,automatic,ci,ci
2019-02-09T23:50:05.130Z,2019-02-09 23:50:05,19.6961,109.6961,-68.1485,111.8515,69,2.9,md,4,263,1.9835,0.46,pr,pr2019040005,2019-02-10T04:32:07.298Z,"123km NE of Miches, Dominican Republic",earthquake,10.41,26.19,0.28,4,reviewed,pr,pr
2019-02-09T23:48:45.440Z,2019-02-09 23:48:45,33.3308333,123.3308333,-116.3465,63.6535,12.24,1.78,ml,70,29,0.08605,0.22,ci,ci37527194,2019-02-10T00:00:06.490Z,"9km NNE of Borrego Springs, CA",earthquake,0.23,0.71,0.226,27,automatic,ci,ci
2019-02-09T23:44:27.196Z,2019-02-09 23:44:27,60.7127,150.7127,-148.9932,31.0068,22.1,1.7,ml,,,,0.44,ak,ak0191ujgc9r,2019-02-09T23:49:47.892Z,"18km WSW of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-09T23:40:54.830Z,2019-02-09 23:40:55,-22.8337,67.1663,-68.7463,111.2537,103.54,4.2,mb,,109,0.536,1.24,us,us2000jfsq,2019-02-09T23:53:25.040Z,"44km SSE of Calama, Chile",earthquake,5.2,3,0.14,14,reviewed,us,us
2019-02-09T23:36:37.011Z,2019-02-09 23:36:37,63.5054,153.5054,-151.0817,28.9183,8.8,1.3,ml,,,,0.55,ak,ak0191ujenao,2019-02-09T23:40:25.547Z,"107km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-09T23:28:45.780Z,2019-02-09 23:28:46,33.6093333,123.6093333,-116.687,63.313,-0.24,0.59,ml,14,76,0.06069,0.3,ci,ci37527178,2019-02-09T23:32:28.184Z,"6km NNW of Anza, CA",earthquake,0.62,1.58,0.283,10,automatic,ci,ci
2019-02-09T23:24:55.180Z,2019-02-09 23:24:55,33.4958333,123.4958333,-116.788,63.212,4.63,1.42,ml,46,36,0.08129,0.22,ci,ci37527170,2019-02-09T23:35:55.630Z,"9km NE of Aguanga, CA",earthquake,0.22,0.69,0.145,27,automatic,ci,ci
2019-02-09T23:04:45.530Z,2019-02-09 23:04:46,38.8358345,128.8358345,-122.8246689,57.1753311,1.9,1.05,md,12,76,0.008885,0.02,nc,nc73140430,2019-02-10T00:22:04.734Z,"9km NW of The Geysers, CA",earthquake,0.33,0.51,0.01,2,automatic,nc,nc
2019-02-09T23:02:11.040Z,2019-02-09 23:02:11,38.7885017,128.7885017,-122.7975006,57.2024994,-0.79,1.15,md,9,81,0.008826,0.12,nc,nc73140425,2019-02-09T23:55:03.553Z,"4km WNW of The Geysers, CA",earthquake,0.32,1.11,0.24,2,automatic,nc,nc
2019-02-09T23:02:05.140Z,2019-02-09 23:02:05,33.2288333,123.2288333,-116.7411667,63.2588333,10.86,1.35,ml,45,29,0.01638,0.22,ci,ci37527154,2019-02-09T23:12:45.210Z,"2km SE of Lake Henshaw, CA",earthquake,0.27,0.64,0.142,27,automatic,ci,ci
2019-02-09T23:01:48.810Z,2019-02-09 23:01:49,33.6551667,123.6551667,-116.734,63.266,13.42,0.77,ml,23,74,0.05825,0.15,ci,ci37527146,2019-02-09T23:05:27.884Z,"10km S of Idyllwild, CA",earthquake,0.32,0.59,0.137,20,automatic,ci,ci
2019-02-09T23:01:16.190Z,2019-02-09 23:01:16,-14.9007,75.0993,-178.456,1.544,360.3,4.8,mb,,36,0.672,1.11,us,us2000jfse,2019-02-09T23:26:34.040Z,"73km SSW of Sigave, Wallis and Futuna",earthquake,7.9,5.1,0.039,202,reviewed,us,us
2019-02-09T22:49:45.161Z,2019-02-09 22:49:45,64.5834,154.5834,-149.8796,30.1204,18.7,1.3,ml,,,,0.67,ak,ak0191uiw0mc,2019-02-09T22:56:27.260Z,"36km W of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-09T22:43:39.017Z,2019-02-09 22:43:39,57.0959,147.0959,-157.5588,22.4412,1.3,3,ml,,,,0.94,ak,ak0191uiupvx,2019-02-09T23:09:02.040Z,"119km NE of Chignik Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-09T22:29:36.591Z,2019-02-09 22:29:37,63.2224,153.2224,-150.5075,29.4925,121,1.4,ml,,,,0.46,ak,ak0191uirnyk,2019-02-10T01:09:03.844Z,"80km WSW of Cantwell, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2019-02-09T22:28:14.229Z,2019-02-09 22:28:14,62.2345,152.2345,-150.9024,29.0976,53.3,2.1,ml,,,,0.67,ak,ak0191uirg6x,2019-02-09T22:40:02.420Z,"42km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-09T22:21:14.770Z,2019-02-09 22:21:15,9.9298,99.9298,126.376,306.376,10,5.2,mb,,96,2.949,1.02,us,us2000jfrz,2019-02-10T03:21:44.708Z,"28km NE of General Luna, Philippines",earthquake,5.4,1.9,0.048,141,reviewed,us,us
2019-02-09T22:20:10.280Z,2019-02-09 22:20:10,38.8366661,128.8366661,-122.7823334,57.2176666,0.91,1.77,md,22,69,0.006494,0.06,nc,nc73140415,2019-02-09T23:14:03.309Z,"5km WNW of Cobb, CA",earthquake,0.2,0.35,0.24,6,automatic,nc,nc
2019-02-09T22:18:22.410Z,2019-02-09 22:18:22,33.0358333,123.0358333,-116.4441667,63.5558333,7.18,0.8,ml,16,78,0.1365,0.2,ci,ci37527138,2019-02-09T22:22:08.785Z,"16km ESE of Julian, CA",earthquake,0.45,2.69,0.181,10,automatic,ci,ci
2019-02-09T22:08:28.640Z,2019-02-09 22:08:29,60.1874,150.1874,-152.0836,27.9164,85.2,1.7,ml,,,,0.58,ak,ak0191uin6zr,2019-02-09T22:19:36.442Z,"47km NNW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-09T21:39:22.264Z,2019-02-09 21:39:22,60.4812,150.4812,-151.9207,28.0793,74,1.2,ml,,,,0.64,ak,ak0191ui8e45,2019-02-09T21:52:48.348Z,"35km WNW of Kalifornsky, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-09T21:28:12.110Z,2019-02-09 21:28:12,45.8616667,135.8616667,-111.3578333,68.6421667,4.74,1.38,ml,12,88,0.306,0.15,mb,mb80335499,2019-02-10T00:02:17.660Z,"2km WNW of Manhattan, Montana",earthquake,0.5,9.85,0.045,6,reviewed,mb,mb
2019-02-09T21:26:22.110Z,2019-02-09 21:26:22,31.671,121.671,49.5631,229.5631,10,4.8,mb,,68,4.705,0.86,us,us2000jfrj,2019-02-09T21:55:16.040Z,"38km SE of Masjed Soleyman, Iran",earthquake,7.3,1.9,0.053,110,reviewed,us,us
2019-02-09T21:25:25.287Z,2019-02-09 21:25:25,61.7489,151.7489,-151.6835,28.3165,90.7,1.8,ml,,,,0.66,ak,ak0191ui5eb2,2019-02-09T21:30:30.973Z,"86km W of Willow, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-09T21:19:07.666Z,2019-02-09 21:19:08,59.9033,149.9033,-153.1017,26.8983,120.5,1.9,ml,,,,0.5,ak,ak0191ui433d,2019-02-09T21:27:09.611Z,"67km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-09T21:18:05.903Z,2019-02-09 21:18:06,61.3707,151.3707,-150.0517,29.9483,34.1,1.3,ml,,,,1.82,ak,ak0191ui3usu,2019-02-09T21:21:07.595Z,"17km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-09T21:15:23.050Z,2019-02-09 21:15:23,33.9676667,123.9676667,-116.3686667,63.6313333,10.79,0.95,ml,8,128,0.04284,0.32,ci,ci37527098,2019-02-09T21:18:56.268Z,"12km E of Desert Hot Springs, CA",earthquake,1.15,1.16,0.137,14,automatic,ci,ci
2019-02-09T21:10:31.670Z,2019-02-09 21:10:32,33.9881667,123.9881667,-116.3396667,63.6603333,4.6,0.84,ml,11,111,0.07444,0.19,ci,ci37527090,2019-02-09T21:14:08.200Z,"15km ENE of Desert Hot Springs, CA",earthquake,0.49,0.83,0.122,14,automatic,ci,ci
2019-02-09T21:05:56.362Z,2019-02-09 21:05:56,61.072,151.072,-149.3204,30.6796,33.2,1.5,ml,,,,0.72,ak,ak0191ui16dx,2019-02-09T21:10:25.436Z,"35km ESE of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-09T20:56:09.810Z,2019-02-09 20:56:10,46.26633333,136.2663333,-122.0766667,57.9233333,6.87,0.68,ml,7,245,,0.12,uw,uw61511416,2019-02-09T21:15:25.210Z,"35km SSE of Morton, Washington",earthquake,1,1.04,0.124478873,6,reviewed,uw,uw
2019-02-09T20:54:57.270Z,2019-02-09 20:54:57,19.4033337,109.4033337,-155.2825012,24.7174988,0.23,1.91,ml,20,35,0.01152,0.1,hv,hv70805931,2019-02-09T21:00:39.690Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.18,0.17,8,automatic,hv,hv
2019-02-09T20:41:43.360Z,2019-02-09 20:41:43,58.2398,148.2398,-154.9232,25.0768,11.5,1.5,ml,,,,0.82,ak,ak0191uhnfma,2019-02-09T20:46:00.541Z,"95km NW of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-09T20:39:18.960Z,2019-02-09 20:39:19,38.8064995,128.8064995,-122.7716675,57.2283325,-0.17,1.13,md,10,80,0.009757,0.05,nc,nc73140405,2019-02-09T22:47:03.134Z,"4km NNW of The Geysers, CA",earthquake,0.26,0.63,0.09,4,automatic,nc,nc
2019-02-09T20:38:03.190Z,2019-02-09 20:38:03,61.3896,151.3896,-149.8833,30.1167,30.5,1.2,ml,,,,0.51,ak,ak0191uhmpb0,2019-02-09T20:42:09.289Z,"15km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-09T20:30:06.860Z,2019-02-09 20:30:07,40.876667,130.876667,-123.836998,56.163002,22.48,2.92,md,14,126,0.0792,0.14,nc,nc73140400,2019-02-09T22:21:04.983Z,"12km E of Blue Lake, CA",earthquake,0.73,0.99,0.19,5,automatic,nc,nc
